,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
0,Alexandre Pantoja,Kai Asakura,0,1,0,34,165.1,170.18,125,1.0,12,4,6,3,0,4.41,0.49,0.8,2.61,0.47,42,31,172.72,175.26,125,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,6,2,0,0
1,Shavkat Rakhmonov,Ian Machado Garry,4,1,1,30,185.42,195.58,170,1.0,6,5,6,0,0,4.12,0.61,1.8,1.49,0.29,11,27,190.5,187.96,170,1.0,8,0,8,0,0,5.5,0.55,0.3,0.77,0.55,20,0,0,1,5,3
2,Ciryl Gane,Alexander Volkov,7,1,1,34,193.04,205.74,245,1.0,9,2,1,2,0,5.49,0.6,0.5,0.58,0.21,33,36,200.66,203.2,250,1.0,12,1,4,4,0,5.13,0.57,0.2,0.45,0.63,44,0,3,4,5,6
3,Bryce Mitchell,Kron Gracie,2,1,1,30,177.8,177.8,145,0.0,7,1,0,2,1,2.3,0.58,1.6,3.45,0.41,22,36,175.26,177.8,145,0.0,1,1,0,2,2,3.74,0.44,0.5,0.47,0.25,7,0,6,0,0,0
4,Nate Landwehr,Dooho Choi,2,1,1,36,175.26,182.88,145,1.0,5,2,1,3,0,6.25,0.46,1.0,1.0,0.41,17,33,177.8,177.8,145,1.0,4,0,1,3,0,4.41,0.53,0.8,0.75,0.37,15,1,2,1,0,4
5,Dominick Reyes,Anthony Smith,6,1,1,34,193.04,195.58,205,0.0,7,1,1,4,0,4.87,0.5,0.3,0.35,0.28,21,36,193.04,193.04,205,1.0,15,6,0,12,1,3.24,0.49,0.6,0.46,0.26,63,0,2,4,2,7
6,Vicente Luque,Themba Gorimbo,4,1,1,33,180.34,190.5,170,1.0,15,5,0,6,1,5.07,0.52,0.6,1.0,0.53,47,33,185.42,195.58,170,1.0,4,0,4,1,0,3.11,0.61,0.6,4.89,0.65,12,0,2,8,3,1
7,Movsar Evloev,Aljamain Sterling,2,1,1,30,170.18,182.88,145,1.0,8,0,8,0,0,4.43,0.48,0.2,4.75,0.46,24,35,170.18,180.34,145,1.0,16,4,1,4,0,4.61,0.52,0.7,2.31,0.27,57,0,8,0,9,2
8,Randy Brown,Bryan Battle,4,1,1,34,190.5,198.12,170,1.0,13,3,3,5,0,4.38,0.47,0.6,0.72,0.39,43,30,185.42,195.58,170,1.0,6,2,3,1,0,5.44,0.53,0.5,0.96,0.23,16,1,7,3,1,3
9,Chris Weidman,Eryk Anders,2,1,1,40,187.96,198.12,185,1.0,12,3,1,7,0,3.18,0.45,0.8,3.44,0.42,46,37,185.42,190.5,185,0.0,8,0,1,8,0,3.41,0.47,0.1,1.79,0.26,44,1,5,4,4,4
10,Cody Durden,Joshua Van,0,1,1,33,170.18,170.18,125,0.0,6,1,1,4,0,3.35,0.5,0.9,4.36,0.5,24,23,165.1,165.1,125,1.0,4,0,1,1,0,8.39,0.53,0.0,1.62,0.63,14,1,4,1,3,1
11,Michael Chiesa,Max Griffin,4,1,1,37,185.42,190.5,170,0.0,12,7,1,7,0,1.86,0.4,1.0,3.35,0.51,41,39,180.34,193.04,170,1.0,8,0,1,8,0,3.92,0.49,0.3,1.45,0.41,44,0,5,0,5,3
12,Clay Guida,Chase Hooper,3,1,1,42,170.18,177.8,155,1.0,20,5,0,19,2,2.64,0.33,0.6,3.13,0.36,105,25,185.42,187.96,155,0.0,7,3,3,3,0,5.08,0.52,2.3,1.45,0.24,23,1,13,2,2,2
13,Kennedy Nzechukwu,Lukasz Brzeski,7,1,1,32,195.58,210.82,205,0.0,9,1,1,5,0,5.34,0.47,0.2,0.58,0.45,31,32,193.04,198.12,236,1.0,2,1,0,4,1,4.9,0.5,0.5,0.46,0.5,14,0,2,6,1,0
14,Petr Yan,Deiveson Figueiredo,1,1,0,31,170.18,170.18,135,1.0,9,0,1,4,0,5.11,0.54,0.1,1.61,0.49,45,36,165.1,172.72,135,1.0,13,4,3,3,0,2.91,0.54,1.4,1.62,0.34,44,0,5,4,5,4
15,Yan Xiaonan,Tabatha Ricci,0,0,1,35,165.1,160.02,115,1.0,8,0,0,3,1,4.99,0.45,0.0,0.92,0.73,34,29,154.94,154.94,115,1.0,6,1,2,2,0,4.18,0.36,0.1,2.74,0.37,22,0,7,1,5,0
16,Song Kenan,Muslim Salikhov,4,1,1,34,182.88,180.34,170,1.0,6,0,1,4,0,4.49,0.46,0.0,0.42,0.3,23,40,180.34,177.8,170,1.0,7,0,1,4,0,3.38,0.49,0.0,1.08,0.32,26,1,3,3,4,3
17,Wang Cong,Gabriella Fernandes,0,0,1,32,167.64,167.64,125,0.0,2,1,2,0,0,5.81,0.46,2.3,1.16,0.5,2,31,167.64,167.64,125,0.0,1,0,1,2,0,3.46,0.46,0.3,0.56,0.18,9,1,0,1,1,0
18,Volkan Oezdemir,Carlos Ulberg,6,1,1,35,187.96,190.5,205,1.0,8,1,2,6,0,4.95,0.48,0.1,0.5,0.29,31,34,193.04,195.58,205,1.0,7,1,6,1,0,7.2,0.56,0.2,0.72,0.75,13,1,3,4,1,5
