,WeightClass,RedStance,BlueStance,Age_diff,Height_diff,Reach_diff,Weight_diff,Red_wins_loss_diff,Blue_wins_loss_diff,Red_Blue_Wins_diff,Red_Blue_Loss_diff,Red_Blue_wins_loss_diff,Red_Blue_curr_streak_diff,Red_Blue_SignStrikAvg_diff,Red_Blue_SuccTDAvg_diff,Red_Blue_AvgSubAtt_diff
0,0,1.0,1.0,3,-7.6200000000000045,-5.079999999999984,0,9,0,12,3,9,6.0,2.1609,1.2267,0.8
1,4,1.0,1.0,3,-5.0800000000000125,7.6200000000000045,0,6,8,-2,0,-2,-2.0,-0.5118000000000005,0.008599999999999941,1.5
2,7,1.0,1.0,-2,-7.6200000000000045,2.5400000000000205,-5,7,8,-3,-2,-1,-3.0,0.36990000000000034,-0.16170000000000004,0.3
3,2,0.0,0.0,-6,2.5400000000000205,0.0,0,5,-1,6,0,6,1.0,-0.3116000000000003,1.2970000000000002,1.1
4,2,1.0,1.0,3,-2.5400000000000205,5.079999999999984,0,2,1,1,0,1,0.0,0.5376999999999996,0.1325,0.19999999999999996
5,6,0.0,1.0,-2,0.0,2.5400000000000205,0,3,3,-8,-8,0,2.0,0.8473999999999999,-0.021600000000000008,-0.3
6,4,1.0,1.0,0,-5.079999999999984,-5.0800000000000125,0,9,3,11,5,6,-5.0,0.7393000000000003,-2.6485000000000003,0.0
7,2,1.0,1.0,-5,0.0,2.539999999999992,0,8,12,-8,-4,-4,7.0,-0.2708000000000004,1.5613000000000001,-0.49999999999999994
8,4,1.0,1.0,4,5.0800000000000125,2.539999999999992,0,8,5,7,4,3,0.0,-0.8246000000000007,0.06,0.09999999999999998
9,2,1.0,0.0,3,2.5400000000000205,7.6200000000000045,0,5,0,4,-1,5,0.0,-0.17169999999999996,0.9793999999999998,0.7000000000000001
10,0,0.0,1.0,10,5.0800000000000125,5.0800000000000125,0,2,3,2,3,-1,0.0,-2.771700000000001,1.1594,0.9
11,4,0.0,1.0,-2,5.079999999999984,-2.539999999999992,0,5,0,4,-1,5,0.0,-1.1767999999999996,1.1140000000000003,0.7
12,3,1.0,0.0,17,-15.23999999999998,-10.159999999999997,0,1,4,13,16,-3,-5.0,-1.7704,0.7788,-1.6999999999999997
13,7,0.0,1.0,0,2.5400000000000205,12.699999999999989,-31,4,-2,7,1,6,2.0,0.05979999999999963,0.031,-0.3
14,1,1.0,1.0,-5,5.0800000000000125,-2.539999999999992,0,5,10,-4,1,-5,-2.0,1.1880000000000002,0.23809999999999998,-1.2999999999999998
15,0,1.0,1.0,6,10.159999999999997,5.0800000000000125,0,5,4,2,1,1,-3.0,0.7407000000000004,-0.34220000000000006,-0.1
16,4,1.0,1.0,-6,2.539999999999992,2.539999999999992,0,2,3,-1,0,-1,0.0,0.40920000000000045,-0.21960000000000002,0.0
17,0,0.0,0.0,1,0.0,0.0,0,2,-1,1,-2,3,1.0,1.081,0.47919999999999996,1.9999999999999998
18,6,1.0,1.0,1,-5.079999999999984,-5.0800000000000125,0,2,6,1,5,-4,-4.0,-1.656000000000001,-0.395,-0.1
19,6,1.0,1.0,-8,-5.079999999999984,-10.159999999999997,0,2,-1,2,-1,3,3.0,3.7632000000000008,0.0,0.0
20,1,1.0,1.0,0,7.6200000000000045,12.700000000000017,0,1,2,0,1,-1,0.0,-0.22119999999999984,-1.4710999999999999,0.0
